,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
COMM 2450,Yu,B,FA22,492,,
CRP 1100,Olson,B,FA22,60,Do NOT take with Katelin Olson. Terrible professor.,
CS 1110,Lee/Bracy,B+,SP23,468,,
CS 1112,Fan,B,SP22,157,,
CS 1112,Fan,B,,,,
CS 2110,Gries/Clarkson,B,FA21,570,,
CS 2110,Gries/Muhlberger,B,FA20,455,,
CS 2110,Gries/Muhlberger,B,FA21,455,Crosslisted with ENGRD 2110,
CS 2110,Gries/Muhlberger,B,FA21,402,,
CS 2110,Myers/Muhlberger,B,FA22,537,,
CS 2110,Gries/Clarkson,B,SP22,,,
CS 2110,Clarkson/Muhlberger,B,SP23,616,,
CS 2800,Silva/Eichhorn,B,FA22,424,,
CS 3110,Clarkson,B,FA22,317,,
CS 4410,Alvisi,B,SP21,276,,
CS 4820,van Zuylen,B,FA22,290,,
DEA 4500,Hedge,B,FA18,14,,
EAS 1310,Wysocki,B,FA21,25,,
EAS 4470,Wysocki,B,FA19,14,,
EAS 4510,Pendergrass,B,FA21,24,,
EAS 4940,Wysocki,B,FA20,10,,
ECE 3140,Zhao,B,SP22,127,,
ECE 4250,El-Ghazaly,B,SP22,92,,
ECON 3250,Stoye,B,SP22,30,,
ENGRD 2190,Duncan,B,FA22,55,,
ENGRD 2190,Duncan,B,FA21,43,,
ENGRD 2202,Duncan,B,FA19,51,,
ENGRD/MAE 2210,Cowen,B,SP20,63,crosslisted with CEE 3200,
GOVT 3174,Wilmers,B,SP22,14,Crosslisted with SOC 3170,
HADM 1210,Ritz/Yeo,B,SP20,216,,
HADM 1740,MacAusland,B,SP20,131,,
HADM 2430,McCarthy,B,FA19,226,,
ILRLE 2400,Dev,B,FA19,120,,
INFO 2450,Yu,B,FA22,492,,
MAE 2030,Andrew Van Paridon,B,SP22,102,,
MAE 2030,"Jacobson, Smith, Thomas",B,SP20,132,,
MAE 3270,Zehnder,B,FA21,119,,
MATH 1110,Buttsworth,B,FA19,350,,
MATH 1910,Barbasch/Pollock/Poitras,B,FA22,414,,
MATH 1910,"Barabash, !!I don't know the other names",B,FA22,520,,
MATH 2130,Kassabov,B,SP21,38,,
MATH 2220,Quigley ,B,SP22,72,,
MATH 2930,Ritz/Esmaily,B,SP21,401,,
MATH 2940,Schalekamp,B,SP23,,,
MATH 4310,MacDonald + Hyde,B,SP22,52,,
MATH 4500,Speh,B,SP22,22,,
MSE 3030,Thompson,B,FA21,21,,
ORIE 3510,Dai,B,FA17,85,Crosslisted with STSCI 3510,
ORIE 4580,Henderson,B,FA21,102,,
PHYS 1101,Giambattista / Taylor,B,FA20,217,,
PHYS 1116,,B,FA22,82,,
PHYS 2218,Hoffstaetter,B,SP21,14,,
PSYCH 2230,DeVoogd,B,SP23,87,,
BME 4020,Vlaminck,A,SP21,,Best BME Class! Taught with Vlaminck!,
ENGRD 2700,Henderson/Chazal,B,SP23,,,
AEM 2240,Hwang,A+,SP21,262,,
AEM 2400,28x,A+,FA21,340,,
,Fisher,A+,FA21,,,
AMST 2001,Corey Earle,A+,FA21,667,,
ANTHR 1900,Villenas,A+,FA22,18,,
ANTHR 2400,Raheja,A,SP23,62,Bad class,
ANTHR 2420,Nadasdy,A-,FA21,70,"Crosslisted with AIIS 2420, BSOC 2420",
ANTHR 2430,Smith,A-,FA20,,,
ASIAN 2208,Fuhrmann,A+,FA21,28,many guest lecturers. prof is an easy grader,
BEE 3299,Richards,A+,SP22,133,,
BEE 4530,Datta,A+,SP21,20,,
BIOEE 2740,Bemis,A+,SP21,40,No lab practicals in SP21,
BIONB 3300,Linster,A+,FA22,35,,
BME 2081,Sauve,A+,FA23,40,,
BME 3020,Brito,A+,SP21,51,,
CLASS 1531,Hunt,A+,,16,,
COML 1105 (FWS: Books with Big Ideas),Various,A+,SP22,93,,
CS 4320,Trummer,A+,SP21,220,lol,
CS 4775,Kim,A+,FA21,46,Crosslisted with BTRY 4840 ,
DEA 3510,Wells,A+,FA19,388,,
EAS 1310,Holycross,A+,SP22,112,Rubric is determined by student,
EAS 1560,Monger,A+,FA20,,,
EAS 2680,Lohman,A+,SP21,57,,
ENGL 1105,Various (FWS),A+,FA21,49,,
ENGRI 1337,Callister,A+,FA21,69,,
FDSC 2500,Loss,A+,SP21,66,,
FREN 1210,3560,A+,FA22,16,crosslisted with FREN 3520,
,,A+,FA21,,,
HD 3660,Anderson,A+,FA21,56,,
INFO 3300,Rzeszotarski,A+,SP21,205,Crosslisted with CS 3300,
INFO 4555,Christen,A+,FA22,,,
INFO 4940,Cleare,A+,FA21,87,Special Topic: Project Management,
LSP 2770,Diaz/Ngugi,A+,FA20,27,,
MAE 3780,Finio,A+,FA16,139,crosslisted with MAE 3783,
MAE 4300,Callister,A+,FA21,130,,
MAE 4340,f,A+,FA19,,,
MATH 1910,Poitras,A+,FA21,38,Poitras is a tough grader,
MATH 4220,Noack,A+,FA20,33,,
STSCI 2150,Smith,A-,FA22,,,
MUSIC 1100,Cruz-Nowell,A+,FA22,67,unknown if 67 includes 7-week 1 term,
MUSIC 3122,Di Russo,A+,FA21,17,,
MUSIC 3621,Di Russo,A+,FA21,79,,
MUSIC 3621,DiRusso,A+,SP22,66,,
MUSIC 3634,Sparhuber,A+,FA23,12,,
NS 3150,Berry,A+,FA19,97,,
PAM 3110,Arguillas,A+,SP19,72,,
PAM 3280,Carmalt,A+,FA22,340,,
PAM 3280,Carmalt,A+,SP21,218,Prof is a sweetheart,
PLBIO 2400,Silva,A+,FA22,469,easiest course at Cornell,
PLBIO 2470,Nixon,A-,SP23,29,,
PORT 2010,Oliveira,A+,FA20,20,Prof retired,
PSYCH 1103,Pizarro/Werth/Others,A+,FA18,29,PSYCH 1101 opt supplement,
PSYCH 1140 (FWS),Sasmita,A+,FA21,34,,
STS 3111,Leuenberger,A+,FA21,52,,
BME 4410,Lewis,A+,FA22,,Tedious and long-work. Can sink you other grades ,
PAM 3280,Carmalt,A+,FA22,340,Very kind/lenient professor,
AEM 2200,Perez,A-,FA21,247, ,
AEM 2210,Riley,A-,SP22,211, ,
AEM 2240,Addoum ,A-,FA23,,,
AEM 2241,Curtis,A-,SP20,3152,,
AEM 2310,Rickard,A-,SP22,48,,
AEM 2420,Shu,A-,SP22,272,"may change professors every semester as this course tends to do that, if not Prof Shu is gr8 exams can be tough though",
AEM 2601,Scur,A-,SP22,272,,
AEM 2700,Lenox,A-,FA21,113,,
AEM 2700,MULTIPLE,A-,SP22,173,"lecture quality varies by professor depending on which section you're in, good amount of group/presentation/writing assignments",
AEM 3100,van Es,A-,FA21,41,,
AEM 3200,"Klausner, Sherwyn, Wagner",A-,FA21,167,,
AEM 3360,Mani,A-,FA21,120,,
AEM 3440,Shu,A-,FA21,47,,
AEM 4150,Kaiser,A-,FA21,91,,
AEP 2550,Fuchs,A-,SP22,,,
AEP 3550,Pollack,A-,SP21,25,,
AEP 4200,Kusse,A-,SP21,27,,
AEP 4500,Fennie,A-,FA18,22,,
AMST 3430,Baptist,A-,FA22,~18,,
ANSC 2400,Allen,A-,SP21,,Super fun and funny professor,
ANTHR 1400,Fiskesjö,A-,FA22,79,,
ARAB 1202,Shahdaa,A-,SP22,18,,
ASIAN 1105 (FWS: Autobiograph Trad China),Son,A-,FA20,18,,
ASTRO 1700,Tagliacozzo/Squyres,A-,FA21,92,Squyres no longer teaches at Cornell,
ASTRO 2211,Riechers,A-,SP21,29,,
ASTRO 3334,Lloyd,A-,SP22,13,,
BEE 4730,Walter,A-,FA18,49,,
BIOAP 3110,Roberson / Sethupathy,A-,FA22,,,
BIOAP 3160,White,A-,SP21,38,,
BIOEE 1610,St. Juliana,A-,FA23,271,,
0,Hernandez,A-,FA19,26,,
BIOEE 1781,Hernandez,A-,FA23,38,,
BIOMG 3310,Nicholson,A-,FA22,211,Literally the best STEM professor I've ever had,
BIOMG 3350,Mao,A-,SP21,103,,
BIOMG 4380,Ke,A-,FA21,13,,
BIOMI 1120,Buckley,A-,FA22,,,
BIONB 2220,Dietz,A-,SP22,117,,
BME 2310,Zipfel,A-,SP21,43,,
BME 3030,Adie,A-,FA21,39,,
BSOC 2561,Hinrichs,A-,FA21,22,,
BTRY 3080,Bunea,A-,SP23,91,,
BTRY 3080,Kato,A-,FA21,107,"crosslisted with ILRST 3080, STSCI 3080",
BTRY 4381,Yu,A-,FA21,24,,
CAPS 4001,Xu,A-,FA20,14,,
CEE 3040,Daziano,A-,FA20,132,,
CEE 3310,Li,A-,FA21,76,,
CEE 3710,Nair,A-,SP21,38,,
CEE 4090,Multiple (Research),A-,FA19,12,,
CEE 4510,Richardson,A-,FA17,44,,
CHEM 3890,Ananth,A-,FA19,93,,
CHIN 1101,Divo,A-,FA22,45,,
CHIN 1102,Divo,A-,FA21,40,,
CHIN 2201,Tang/Li,A-,SP22,28,,
CHIN 2209,George,A-,FA21,42,,
CHIN 3301,Li,A-,FA20,13,,
CHIN 4411,Teng,A-,FA20,13,,
COML 1104 (FWS: Reading Films),Monroe,A-,FA21,34,,
COML 1106,Karmin et al.,A-,FA21,68,,
COML 1109,Various (FWS),A-,FA17,,,
COML 1119 (FWS: Russian Lit),Krivistky,A-,FA20,18,,
COMM 2200,Humphreys,A-,FA22,95,Cookie Cutter Essays,
CS 2112,Myers,A-,FA21,57,,
CS 2112,Myers,A-,FA21,84,,
CS 2112,Foster,A-,FA22,62,,
  ,Fan,A-,FA21,32,,
CS 2802,ok,A-,FA20,29,,
CS 2850,Halpern,A-,FA19,,,
CS 2850,Halpern/Easley,A-,FA21,519,,
CS 3110,Clarkson,A-,FA20,321,,
CS 3420,Napp,A-,SP22,168,"didn't receive grades for months, rubric given for final project after the deadline",
CS 3420,Napp,A-,FA21,181,"Crosslisted with ECE 3140, no exams",
ENGRD 2020,Moridi,B-,SP23,97,,
CS 4110,Sampson,A-,FA21,98,"Hard but curved like crazy, cringe should've taken a napp",
CS 4120,Myers,A-,SP22,46,,
CS 4210,Vladimirsky,A-,FA22,21,crosslisted with MATH 4250,
CS 4320,Trummer,A-,FA22,289,,
CS 4450,Agarwal,A-,SP21,227,no pop quizzes this semester,
CS 4450,Agarwal,A-,FA22,78,"cool prof, homeworks optional",
CS 4620,Marschner/Davis,A-,FA20,163,,
CS 4670,Hariharan,A-,FA21,240, ,
CS 4744,van Schijndel,A-,SP22,45,,
CS 4750,Knepper,A-,FA19,83,,
